,DDQN_Base_Model
50,"{'reward': 0.20696597744553205, 'makespan': 0.8801790812181826, 'energy': 3.7145211221470937, 'cost': 52.50580489390929, 'latency': 4.53, 'utilization': 0.501160978781856, 'throughput': 0.10001910078225867}"
51,"{'reward': 0.212783461949965, 'makespan': 2000.8793613926412, 'energy': 3.7743303369167425, 'cost': 52.54129446626916, 'latency': 4.395, 'utilization': 0.5082588932538319, 'throughput': 0.10314350269613425}"
52,"{'reward': 0.20446063632762182, 'makespan': 4000.6243279130995, 'energy': 3.702024766892306, 'cost': 52.49053726782427, 'latency': 4.515, 'utilization': 0.4981074535648507, 'throughput': 0.10039804055593526}"
53,"{'reward': 0.20317667091938868, 'makespan': 4000.5566456562096, 'energy': 3.6731631783961745, 'cost': 52.48097680675378, 'latency': 4.575, 'utilization': 0.49619536135075665, 'throughput': 0.09948188653451809}"
54,"{'reward': 0.2104029369142659, 'makespan': 6000.859001644345, 'energy': 3.7500067955060374, 'cost': 52.52435695196277, 'latency': 4.37, 'utilization': 0.5048713903925512, 'throughput': 0.10369696969696968}"
55,"{'reward': 0.2030794563611126, 'makespan': 8000.872232328939, 'energy': 3.659335870294973, 'cost': 52.47769138166912, 'latency': 4.56, 'utilization': 0.4955382763338274, 'throughput': 0.09929061289587601}"
56,"{'reward': 0.20460900627269843, 'makespan': 2000.7967181148824, 'energy': 3.687977429195995, 'cost': 52.489524078697315, 'latency': 4.535, 'utilization': 0.49790481573945955, 'throughput': 0.09998208980561918}"
57,"{'reward': 0.21072899603533612, 'makespan': 4000.804268334379, 'energy': 3.751437269568322, 'cost': 52.52853260054142, 'latency': 4.445, 'utilization': 0.5057065201082872, 'throughput': 0.10190468595731747}"
58,"{'reward': 0.21065974014344008, 'makespan': 0.7763081226873593, 'energy': 3.748483055656395, 'cost': 52.52768235794529, 'latency': 4.445, 'utilization': 0.5055364715890545, 'throughput': 0.10178360115976214}"
59,"{'reward': 0.2105228309500796, 'makespan': 6000.772833535395, 'energy': 3.750548713958133, 'cost': 52.52809775279126, 'latency': 4.47, 'utilization': 0.5056195505582517, 'throughput': 0.101681148057309}"
60,"{'reward': 0.21323241766655548, 'makespan': 1.1900839348682142, 'energy': 3.757309774169704, 'cost': 52.5435837016176, 'latency': 4.49, 'utilization': 0.5087167403235199, 'throughput': 0.10072848788638261}"
61,"{'reward': 0.2122415043585271, 'makespan': 4000.759548149442, 'energy': 3.764019429040965, 'cost': 52.53969437446182, 'latency': 4.49, 'utilization': 0.5079388748923598, 'throughput': 0.10071671603250547}"
62,"{'reward': 0.20780120601045, 'makespan': 2000.7598548884475, 'energy': 3.74659914162081, 'cost': 52.5160673146991, 'latency': 4.55, 'utilization': 0.5032134629398227, 'throughput': 0.0998345484924432}"
63,"{'reward': 0.2066633875896995, 'makespan': 2000.6131214461698, 'energy': 3.6956923662075813, 'cost': 52.500633297287784, 'latency': 4.515, 'utilization': 0.5001266594575573, 'throughput': 0.10044305281921379}"
64,"{'reward': 0.2124457967850557, 'makespan': 12000.495669845985, 'energy': 3.7775331399989938, 'cost': 52.543317528093354, 'latency': 4.5, 'utilization': 0.5086635056186679, 'throughput': 0.10141752279368375}"
65,"{'reward': 0.20929965253843238, 'makespan': 6001.0099614066785, 'energy': 3.7054774091729774, 'cost': 52.51154424799702, 'latency': 4.38, 'utilization': 0.5023088495994044, 'throughput': 0.10361036503915756}"
66,"{'reward': 0.21497678340962906, 'makespan': 0.8805299441112661, 'energy': 3.803637595763108, 'cost': 52.561014525957205, 'latency': 4.515, 'utilization': 0.5122029051914432, 'throughput': 0.10043996354522668}"
67,"{'reward': 0.21300237326997262, 'makespan': 2001.4436656317184, 'energy': 3.8011958371055097, 'cost': 52.55196207299883, 'latency': 4.56, 'utilization': 0.5103924145997663, 'throughput': 0.09931370091896402}"
68,"{'reward': 0.2098075761655327, 'makespan': 4000.6884261018677, 'energy': 3.7367806620581274, 'cost': 52.51910416401306, 'latency': 4.37, 'utilization': 0.5038208328026138, 'throughput': 0.10374108399340594}"
69,"{'reward': 0.20701604681388475, 'makespan': 2000.8101076692515, 'energy': 3.727413425787863, 'cost': 52.50793297705309, 'latency': 4.52, 'utilization': 0.501586595410616, 'throughput': 0.10012925138157332}"
70,"{'reward': 0.21651538252361172, 'makespan': 6000.941776907745, 'energy': 3.798972573539682, 'cost': 52.565440370349314, 'latency': 4.43, 'utilization': 0.5130880740698648, 'throughput': 0.10259889697505792}"
71,"{'reward': 0.20698113150117842, 'makespan': 2001.3151781956192, 'energy': 3.734176119436228, 'cost': 52.50722587362805, 'latency': 4.465, 'utilization': 0.5014451747256138, 'throughput': 0.1014726343487953}"
72,"{'reward': 0.2169898118013647, 'makespan': 2000.7105872507461, 'energy': 3.8091651431107336, 'cost': 52.57108829526328, 'latency': 4.48, 'utilization': 0.5142176590526559, 'throughput': 0.10155344242960337}"
73,"{'reward': 0.21181797862218535, 'makespan': 0.7501565445464577, 'energy': 3.7801167894676952, 'cost': 52.54254855953163, 'latency': 4.565, 'utilization': 0.5085097119063228, 'throughput': 0.09912155388471175}"
74,"{'reward': 0.21358715801334793, 'makespan': 6000.767340556853, 'energy': 3.7831223203386553, 'cost': 52.55065593332767, 'latency': 4.52, 'utilization': 0.5101311866655348, 'throughput': 0.10043553402222133}"
75,"{'reward': 0.20702021562300643, 'makespan': 0.8602254698609567, 'energy': 3.7199626701636817, 'cost': 52.50167671601122, 'latency': 4.355, 'utilization': 0.5003353432022422, 'throughput': 0.1043400055396959}"
76,"{'reward': 0.21531557267852752, 'makespan': 2001.377158060385, 'energy': 3.784834509056661, 'cost': 52.55423213782595, 'latency': 4.34, 'utilization': 0.5108464275651897, 'throughput': 0.10461959265364834}"
77,"{'reward': 0.21542983989629416, 'makespan': 8000.48132921818, 'energy': 3.8026738197860253, 'cost': 52.56497316046106, 'latency': 4.575, 'utilization': 0.5129946320922123, 'throughput': 0.09910371963777534}"
78,"{'reward': 0.2115997215273244, 'makespan': 2000.714979030454, 'energy': 3.769107432832073, 'cost': 52.53942985372365, 'latency': 4.56, 'utilization': 0.5078859707447321, 'throughput': 0.09943419153945467}"
79,"{'reward': 0.21193370529225838, 'makespan': 2000.93134901388, 'energy': 3.736416163314621, 'cost': 52.52921189252321, 'latency': 4.35, 'utilization': 0.5058423785046418, 'throughput': 0.1040169005401203}"
80,"{'reward': 0.21704834237049095, 'makespan': 2000.9189250702098, 'energy': 3.815886946021556, 'cost': 52.57115211876514, 'latency': 4.435, 'utilization': 0.5142304237530275, 'throughput': 0.10221938759554852}"
81,"{'reward': 0.20262796740669817, 'makespan': 2000.785942797529, 'energy': 3.684137429603815, 'cost': 52.47579162377505, 'latency': 4.435, 'utilization': 0.49515832475501315, 'throughput': 0.10248057085673182}"
82,"{'reward': 0.2101302310838821, 'makespan': 1.1477270822470806, 'energy': 3.7395388122919138, 'cost': 52.52455141088697, 'latency': 4.48, 'utilization': 0.5049102821773989, 'throughput': 0.10098964657633384}"
83,"{'reward': 0.20801245123574508, 'makespan': 4000.5850496590037, 'energy': 3.724172942424381, 'cost': 52.5081782634888, 'latency': 4.38, 'utilization': 0.5016356526977567, 'throughput': 0.10382882786288357}"
84,"{'reward': 0.2086701680436806, 'makespan': 1.0394745302284625, 'energy': 3.721176538740408, 'cost': 52.515111997903176, 'latency': 4.515, 'utilization': 0.503022399580633, 'throughput': 0.10026909519788774}"
85,"{'reward': 0.21064783541313312, 'makespan': 6000.862790540643, 'energy': 3.7516337977640086, 'cost': 52.52693780491261, 'latency': 4.405, 'utilization': 0.5053875609825219, 'throughput': 0.10283813142481871}"
86,"{'reward': 0.21258144537678877, 'makespan': 4000.8613920919574, 'energy': 3.7737965201846966, 'cost': 52.54565487406503, 'latency': 4.575, 'utilization': 0.5091309748130051, 'throughput': 0.09915365508244761}"
